
4.53618, 0.0918113
4.58602, 0.0987199
4.63937, 0.0941618
4.71376, 0.0951239
4.64403, 0.0901833
4.58435, 0.0967855
4.52313, 0.0855109
4.59397, 0.0897861
4.64933, 0.0941236
4.7329, 0.0992169
4.66977, 0.0972603
4.73051, 0.095333
4.81919, 0.0975553
4.86802, 0.114032
4.93022, 0.106958
4.98835, 0.115045
5.03695, 0.143369
5.1158, 0.145828
5.19826, 0.138937
5.32638, 0.149781
5.52695, 0.167193
5.46082, 0.158687
5.5437, 0.172241
5.49212, 0.191618
5.59839, 0.196588
5.68058, 0.205256
5.74329, 0.218223
5.81421, 0.22544
5.90862, 0.22311
6.10537, 0.221659
6.26391, 0.223313
6.42041, 0.228915
6.58264, 0.239329
6.68594, 0.251
6.75647, 0.258642
6.87272, 0.264975
6.92169, 0.276122
7.02413, 0.268832
7.07959, 0.27632
7.17525, 0.26921
7.27959, 0.280282
7.35338, 0.300949
7.43945, 0.304507
7.36899, 0.331639
7.32047, 0.353435
7.45873, 0.336176
7.3994, 0.33645
7.61385, 0.340535
7.66424, 0.336055
7.73232, 0.339225
7.66756, 0.348484
7.61898, 0.336007
7.49129, 0.340726
7.5695, 0.339986
7.47436, 0.330134
7.55401, 0.328158
7.62541, 0.333419
7.54928, 0.336124
7.36729, 0.329936
7.27114, 0.331706
7.10011, 0.329106
7.04067, 0.323128
6.91986, 0.320998
6.84788, 0.320815
6.7849, 0.32008
6.70519, 0.336427
6.77348, 0.322172
6.86354, 0.324167
6.77571, 0.32255
